popularity,title,vote_average,vote_count,release_year,genero,director,Actor_principal,combined_features
0.006855046267436082,Manhattan Romance,0.53,0.0007104795737122557,0.981481481481482,14,9353,9476,14 9353 9476
0.002584975408939023,Shaft's Big Score!,0.61,0.000497335701598579,0.5833333333333329,0,3362,8038,0 3362 8038
0.0008342205362154968,Wolf,0.4,7.104795737122558e-05,0.9166666666666649,6,1906,7669,6 1906 7669
0.010491241747776518,For the Love of Spock,0.78,0.003410301953818828,0.990740740740741,5,73,5722,5 73 5722
0.0013667800881164,The Bulleteers,0.7000000000000001,0.00021314387211367674,0.30555555555555497,0,2013,4493,0 2013 4493
0.06661375091104743,Hercules,0.5599999999999999,0.12127886323268205,0.9722222222222229,0,1144,2516,0 1144 2516
0.013812182983319841,Not My Day,0.66,0.004404973357015986,0.9722222222222229,3,7476,859,3 7476 859
0.0005752555040338178,The Drummer,0.75,0.0002841918294849023,0.907407407407406,6,5283,4217,6 5283 4217
0.04183733439511839,Rumble in the Bronx,0.65,0.017406749555950268,0.796296296296298,4,8790,3949,4 8790 3949
0.0020811584173185734,United States of Love,0.55,0.0002841918294849023,0.990740740740741,6,9378,4922,6 9378 4922
0.0030083098343084485,The Rough House,0.5599999999999999,0.0005683836589698046,0.074074074074074,3,1277,8325,3 1277 8325
0.002553083397904435,Princess Raccoon,0.47000000000000003,0.00035523978685612787,0.8888888888888878,8,8527,10186,8 8527 10186
0.00915998895905169,Cutter's Way,0.63,0.0022735346358792184,0.666666666666666,6,3880,4294,6 3880 4294
0.006202311556877946,Blood for Dracula,0.58,0.0015630550621669626,0.601851851851851,11,7287,9639,11 7287 9639
0.020106854646725462,Our Idiot Brother,0.5900000000000001,0.02621669626998224,0.9444444444444459,3,4446,7550,3 4446 7550
0.004019249551728175,The Perfect Roommate,0.37000000000000005,0.00035523978685612787,0.9444444444444459,16,1809,1181,16 1809 1181
1.0430219865365498e-06,Sunday Too Far Away,0.65,0.00014209591474245115,0.6111111111111119,6,5266,3941,6 5266 3941
0.022367582719016035,The International,0.6000000000000001,0.02650088809946714,0.9259259259259239,6,9372,1864,6 9372 1864
0.06298505024016074,Man of Steel,0.65,0.45911190053285966,0.962962962962964,0,9960,3646,0 9960 3646
0.0024670731548713425,Lily Sometimes,0.5900000000000001,0.0010657193605683837,0.935185185185187,6,2803,2341,6 2803 2341
0.004606606828778421,The Wheeler Dealers,0.6400000000000001,0.0004262877442273535,0.5,3,772,4046,3 772 4046
0.007460926527778177,The Odd Couple II,0.61,0.001989342806394316,0.824074074074075,1,3729,3929,1 3729 3929
0.0028312067394739952,Man Trouble,0.47000000000000003,0.0007815275310834813,0.7685185185185169,3,1060,3934,3 1060 3934
0.021325753242959204,High Sierra,0.7000000000000001,0.004689165186500888,0.29629629629629595,1,7724,3790,1 7724 3790
0.004729591691614371,Malice in Wonderland,0.5599999999999999,0.0014209591474245115,0.9259259259259239,8,8700,6064,8 8700 6064
6.794931508381433e-06,The Son,0.0,0.0,0.5925925925925919,6,7578,10132,6 7578 10132
0.011523463190680495,Soldier Blue,0.71,0.002984014209591474,0.564814814814815,0,7696,1412,0 7696 1412
0.03089844595703545,Ballistic: Ecks vs. Sever,0.43,0.007033747779751332,0.8611111111111109,0,9828,701,0 9828 701
0.01677247303665856,Only You,0.6400000000000001,0.006536412078152753,0.787037037037039,3,7016,6277,3 7016 6277
0.0019163235713225027,A Funny Man,0.6900000000000001,0.000994671403197158,0.9444444444444459,6,6191,7210,6 6191 7210
0.06504315685233712,xXx: State of the Union,0.47000000000000003,0.04014209591474245,0.8888888888888878,0,5624,3785,0 5624 3785
0.005537172698851258,It Came from Hollywood,0.6000000000000001,0.000852575488454707,0.6759259259259249,3,539,2011,3 539 2011
